,gender,age,zodiac_sign,profession,junior_programmer_salary,senior_programmer_salary
0,Hombre,36,Aries,Programador,69000.0,97000.0
1,Hombre,42,Capricornio,Programador,67000.0,154000.0
2,Hombre,37,Picis,Profesor,89000.0,132000.0
3,Hombre,39,Acuario,Estudiante,51000.0,162000.0
4,Hombre,28,Leo,Programador,91000.0,126000.0
5,Hombre,38,Sagitario,Ingeniero,87000.0,214000.0
6,Hombre,42,Sagitario,Ingeniero,74000.0,147000.0
7,Hombre,37,Cáncer,Físico,65000.0,159000.0
8,Otro,38,Capricornio,Contador,23000.0,88000.0
9,Hombre,41,Leo,Profesor,77000.0,150000.0
10,Hombre,39,Sagitario,Programador,76000.0,107000.0
11,Hombre,41,Acuario,Físico,62000.0,150000.0
12,Hombre,39,Libra,Ingeniero,77000.0,126000.0
13,Hombre,39,Picis,Programador,79000.0,92000.0
14,Mujer,37,Aries,Programador,19000.0,81000.0
15,Mujer,44,Picis,Programador,34000.0,53000.0
16,Mujer,43,Aries,Matemático,47000.0,67000.0
17,Hombre,40,Acuario,Ingeniero,79000.0,166000.0
18,Hombre,44,Géminis,Estudiante,72000.0,93000.0
19,Hombre,40,Libra,Programador,71000.0,134000.0
20,Prefiero no decirlo,38,Aries,Programador,20000.0,80000.0
21,Hombre,46,Capricornio,Programador,74000.0,145000.0
22,Hombre,39,Leo,Programador,46000.0,130000.0
23,Hombre,45,Leo,Programador,56000.0,121000.0
24,Mujer,43,Picis,Economista,23000.0,64000.0
25,Hombre,41,Picis,Programador,78000.0,109000.0
26,Mujer,43,Acuario,Programador,14000.0,71000.0
27,Hombre,38,Tauro,Ingeniero,82000.0,86000.0
28,Hombre,41,Cáncer,Programador,62000.0,139000.0
29,Hombre,41,Tauro,Maestro,96000.0,178000.0
30,Mujer,39,Picis,Ingeniero,24000.0,86000.0
31,Hombre,41,Virgo,Ingeniero,89000.0,151000.0
32,Hombre,31,Tauro,Profesor,73000.0,108000.0
33,Hombre,40,Escorpio,Estudiante,121000.0,178000.0
34,Mujer,38,Capricornio,Programador,18000.0,74000.0
35,Hombre,34,Leo,Programador,69000.0,158000.0
36,Hombre,36,Virgo,Programador,69000.0,110000.0
37,Hombre,31,Géminis,Programador,84000.0,148000.0
38,Hombre,39,Virgo,Profesor,79000.0,121000.0
39,Hombre,44,Sagitario,Profesor,65000.0,176000.0
40,Hombre,35,Capricornio,Físico,76000.0,123000.0
41,Hombre,34,Aries,Profesor,87000.0,135000.0
42,Hombre,46,Capricornio,Matemático,76000.0,155000.0
43,Mujer,31,Leo,Ingeniero,22000.0,78000.0
44,Hombre,40,Picis,Matemático,71000.0,126000.0
45,Hombre,43,Capricornio,Físico,74000.0,153000.0
46,Mujer,40,Sagitario,Programador,18000.0,49000.0
47,Mujer,36,Escorpio,Programador,17000.0,53000.0
48,Mujer,45,Libra,Ingeniero,37000.0,70000.0
49,Hombre,28,Géminis,Maestro,81000.0,147000.0
50,Hombre,39,Géminis,Estudiante,78000.0,129000.0
51,Hombre,39,Virgo,Programador,75000.0,106000.0
52,Prefiero no decirlo,40,Tauro,Contador,25000.0,92000.0
53,Mujer,36,Aries,Físico,36000.0,165000.0
54,Mujer,33,Tauro,Programador,24000.0,57000.0
55,Mujer,32,Géminis,Programador,22000.0,90000.0
56,Hombre,40,Cáncer,Contador,71000.0,146000.0
57,Mujer,40,Escorpio,Contador,25000.0,67000.0
58,Hombre,37,Acuario,Matemático,51000.0,99000.0
59,Mujer,36,Géminis,Maestro,23000.0,69000.0
60,Mujer,34,Libra,Matemático,37000.0,51000.0
61,Mujer,39,Acuario,Programador,28000.0,39000.0
62,Hombre,32,Escorpio,Estudiante,82000.0,186000.0
63,Mujer,35,Picis,Ingeniero,26000.0,86000.0
64,Mujer,35,Cáncer,Ingeniero,39000.0,63000.0
